,cik,ticker
0,1408198,msci
1,1359841,hbi
2,1075531,bkng
3,858470,cog
4,5272,aig
5,1324404,cf
6,1051470,cci
7,936340,dte
8,1281761,rf
9,798354,fisv
10,1013462,anss
11,59558,lnc
12,277135,gww
13,1095073,re
14,1014473,vrsn
15,6769,apa
16,58492,leg
17,732712,vz
18,217346,txt
19,100517,ual
20,882835,rop
21,1039684,oke
22,27904,dal
23,352915,uhs
24,1120193,ndaq
25,1158449,aap
26,820027,amp
27,26172,cmi
28,1137774,pru
29,75362,pcar
30,915912,avb
31,851968,mhk
32,277948,csx
33,1037646,mtd
34,783280,dre
35,91440,sna
36,906709,nktr
37,48039,hfc
38,1047122,rtn
39,1141391,ma
40,1111928,ipgp
41,36104,usb
42,1021860,nov
43,726728,o
44,773840,hon
45,1039101,lll
46,75677,pkg
47,1156039,antm
48,1000697,wat
49,1121788,grmn
50,106535,wy
51,920148,lh
52,96943,tfx
53,1086222,akam
54,1065280,nflx
55,788784,peg
56,101829,utx
57,750556,sti
58,108772,xrx
59,35527,fitb
60,1013871,nrg
61,879101,kim
62,9389,bll
63,865752,mnst
64,922864,aiv
65,764622,pnw
66,1297996,dlr
67,97476,txn
68,831001,c
69,51644,ipg
70,1101215,ads
71,1053507,amt
72,354190,ajg
73,927066,dva
74,92380,luv
75,753308,nee
76,1041061,yum
77,77476,pep
78,1113169,trow
79,1001082,dish
80,1174922,wynn
81,796343,adbe
82,1037540,bxp
83,313927,chd
84,875320,vrtx
85,1103982,mdlz
86,816284,celg
87,702165,nsc
88,28412,cma
89,872589,regn
90,1393612,dfs
91,31462,ecl
92,4904,aep
93,92122,so
94,879169,incy
95,77360,pnr
96,65984,etr
97,51253,iff
98,1396009,vmc
99,78003,pfe
100,721683,tss
101,1326160,duk
102,64040,spgi
103,713676,pnc
104,1045810,nvda
105,36270,mtb
106,54480,ksu
107,1168054,xec
108,87347,slb
109,68505,msi
110,59478,lly
111,896159,cb
112,316709,schw
113,749251,it
114,51434,ip
115,831259,fcx
116,51143,ibm
117,1002910,aee
118,24545,tap
119,906107,eqr
120,1065088,ebay
121,72971,wfc
122,884887,rcl
123,19617,jpm
124,1109357,exc
125,916076,mlm
126,72207,nbl
127,899051,all
128,62996,mas
129,915913,alb
130,1058290,ctsh
131,1164727,nem
132,30625,fls
133,354908,flir
134,49196,hban
