,ticker
0,msci
1,aig
2,cf
3,dte
4,gww
5,re
6,apa
7,ual
8,ndaq
9,amp
10,pru
11,pcar
12,csx
13,dre
14,sna
15,rtn
16,ma
17,usb
18,o
19,hon
20,antm
21,wat
22,tfx
23,akam
24,sti
25,mnst
26,ads
27,dva
28,pep
29,wynn
30,mdlz
31,regn
32,incy
33,pnr
34,etr
35,tss
36,duk
37,mtb
38,ksu
39,fcx
40,aee
41,wfc
42,flir
43,sbac
44,vno
45,mat
46,zion
47,nwl
48,gd
49,amgn
50,mac
51,oxy
52,ed
53,sre
54,blk
55,pld
56,lmt
57,xel
58,gild
59,ctl
60,vlo
61,aes
62,aos
63,arnc
64,eqix
65,cof
66,k
67,es
68,dhr
69,hsy
70,pgr
71,irm
72,udr
73,amzn
74,bk
75,mmc
76,hcp
77,ppl
78,tgt
79,fmc
80,stt
81,ba
82,mcd
83,cme
84,ivz
85,axp
86,intc
87,xom
88,idxx
89,ess
90,amg
91,afl
92,ups
93,mo
94,omc
95,hum
96,swk
97,unm
98,cern
99,ce
100,unp
